"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","appeng.libs.mdx","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\libs\markdown\src\test\java\appeng\libs\mdx\MdxTest.java","3","429","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","appeng.libs.micromark.extensions.gfm","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\libs\markdown\src\test\java\appeng\libs\micromark\extensions\gfm\GfmTableSyntaxTest.java","3","207","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","66","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addFrames' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","67","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addFramesPerRow' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","68","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addFrameCount' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"4","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","69","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addFramesPath' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"5","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","70","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addHeight' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"6","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","71","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addWidth' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"7","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","72","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addY' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"8","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","73","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addX' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"9","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","74","Unnecessary qualifier 'ExpAnimatedTexturePart': 'addTextureId' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"10","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpAnimatedTexturePart.java","4","75","Unnecessary qualifier 'ExpAnimatedTexturePart': 'endExpAnimatedTexturePart' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpMaterial.java","4","57","Unnecessary qualifier 'ExpMaterial': 'addSamplers' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpMaterial.java","4","58","Unnecessary qualifier 'ExpMaterial': 'addShaderName' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","appeng.flatbuffers.scene","C:\User\abhi\MetricsCK\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpMaterial.java","4","59","Unnecessary qualifier 'ExpMaterial': 'addName' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
