"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","44","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","46","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","47","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"4","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","49","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"5","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","50","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"6","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","51","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"7","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","52","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"8","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","53","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"9","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","54","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"10","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","55","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"11","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","56","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"12","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","57","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"13","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","58","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"14","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaButtonPlugin.java","3","59","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","44","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","46","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","47","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"4","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","48","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"5","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","49","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"6","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","50","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"7","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","51","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"8","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","52","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"9","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","53","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"10","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","54","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"11","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","55","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"12","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaContextMenuPlugin.java","3","56","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaHttpListenerPlugin.java","3","42","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaHttpListenerPlugin.java","3","46","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaHttpListenerPlugin.java","3","52","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"4","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaHttpListenerPlugin.java","3","53","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"5","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaHttpListenerPlugin.java","3","55","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"6","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaHttpListenerPlugin.java","3","56","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"7","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaHttpListenerPlugin.java","3","57","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"8","burp","C:\User\abhi\MetricsCK\Brida\Brida\src\main\java\burp\BridaHttpListenerPlugin.java","3","58","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
