"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.earth2me.essentials.chat.processing","C:\User\abhi\MetricsCK\EssentialsX\Essentials\EssentialsChat\src\main\java\com\earth2me\essentials\chat\processing\AbstractChatHandler.java","3","32","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","com.earth2me.essentials.chat.processing","C:\User\abhi\MetricsCK\EssentialsX\Essentials\EssentialsChat\src\main\java\com\earth2me\essentials\chat\processing\ChatProcessingCache.java","3","28","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","net.essentialsx.discordlink","C:\User\abhi\MetricsCK\EssentialsX\Essentials\EssentialsDiscordLink\src\main\java\net\essentialsx\discordlink\DiscordLinkSettings.java","4","82","Unnecessary qualifier 'LinkPolicy': 'NONE' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","com.earth2me.essentials","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\Console.java","4","51","Unnecessary qualifier 'Console': 'NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","com.earth2me.essentials","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\Console.java","4","61","Unnecessary qualifier 'Console': 'DISPLAY_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","com.earth2me.essentials","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\EssentialsUpgrade.java","3","839","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.earth2me.essentials","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\Mob.java","4","121","Unnecessary qualifier 'Mob': 'values' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.earth2me.essentials","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\MobData.java","4","241","Unnecessary qualifier 'MobData': 'values' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.earth2me.essentials","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\User.java","3","643","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.earth2me.essentials.commands","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commandfeed.java","3","46","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.earth2me.essentials.commands","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commandgc.java","4","56","Unnecessary qualifier 'java.lang': 'ClassCastException' is already in scope because it is declared in java.lang","Code Style","UnnecessaryFullyQualifiedName"
"1","com.earth2me.essentials.commands","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commandheal.java","3","73","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.earth2me.essentials.signs","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\signs\EssentialsSign.java","3","58","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.earth2me.essentials.utils","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\utils\DateUtil.java","4","139","Unnecessary qualifier 'DateUtil': 'formatDateDiff' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.earth2me.essentials.utils","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\utils\FormatUtil.java","4","79","Unnecessary qualifier 'FormatUtil': 'blockURL' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.earth2me.essentials.utils","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\utils\LocationUtil.java","4","282","Unnecessary qualifier 'LocationUtil': 'isBlockUnsafe' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.earth2me.essentials.utils","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\utils\VersionUtil.java","4","45","Unnecessary qualifier 'VersionUtil': 'getServerBukkitVersion' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","com.earth2me.essentials.utils","C:\User\abhi\MetricsCK\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\utils\VersionUtil.java","4","45","Unnecessary qualifier 'VersionUtil': 'v1_13_0_R01' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","net.ess3.nms.refl","C:\User\abhi\MetricsCK\EssentialsX\Essentials\providers\NMSReflectionProvider\src\main\java\net\ess3\nms\refl\ReflUtil.java","4","71","Unnecessary qualifier 'ReflUtil': 'getNmsVersionObject' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","net.ess3.nms.refl","C:\User\abhi\MetricsCK\EssentialsX\Essentials\providers\NMSReflectionProvider\src\main\java\net\ess3\nms\refl\ReflUtil.java","4","71","Unnecessary qualifier 'ReflUtil': 'V1_17_R1' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
