"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.broadinstitute.hellbender","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\Main.java","3","340","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","org.broadinstitute.hellbender","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\Main.java","3","341","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.broadinstitute.hellbender.cmdline","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\CommandLineProgram.java","3","297","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\IntervalArgumentCollection.java","4","202","Unnecessary qualifier 'IntervalArgumentCollection': 'INTERVAL_SET_RULE_LONG_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","36","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'DO_NOT_MARK_UNMAPPED_MATES_LONG_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","40","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'DUPLICATE_TAGGING_POLICY_LONG_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"3","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","44","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'REMOVE_ALL_DUPLICATE_READS' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"4","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","45","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'DUPLICATE_TAGGING_POLICY_LONG_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"5","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","45","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'REMOVE_SEQUENCING_DUPLICATE_READS' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"6","org.broadinstitute.hellbender.cmdline.argumentcollections","C:\User\abhi\MetricsCK\gatk\gatk\src\main\java\org\broadinstitute\hellbender\cmdline\argumentcollections\MarkDuplicatesSparkArgumentCollection.java","4","48","Unnecessary qualifier 'MarkDuplicatesSparkArgumentCollection': 'REMOVE_SEQUENCING_DUPLICATE_READS' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
