"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.geotools.maven.xmlcodegen","C:\User\abhi\MetricsCK\geotools\geotools\build\maven\xmlcodegen\src\main\java\org\geotools\maven\xmlcodegen\AbstractGenerator.java","3","45","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","org.geotools.maven.xmlcodegen.templates","C:\User\abhi\MetricsCK\geotools\geotools\build\maven\xmlcodegen\src\main\java\org\geotools\maven\xmlcodegen\templates\CycleSchemaClassTemplate.java","3","203","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","org.geotools.maven.xmlcodegen.templates","C:\User\abhi\MetricsCK\geotools\geotools\build\maven\xmlcodegen\src\main\java\org\geotools\maven\xmlcodegen\templates\CycleSchemaClassTemplate.java","3","284","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","org.geotools.maven.xmlcodegen.templates","C:\User\abhi\MetricsCK\geotools\geotools\build\maven\xmlcodegen\src\main\java\org\geotools\maven\xmlcodegen\templates\CycleSchemaClassTemplate.java","3","334","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.geotools.maven.xmlcodegen.templates","C:\User\abhi\MetricsCK\geotools\geotools\build\maven\xmlcodegen\src\main\java\org\geotools\maven\xmlcodegen\templates\SchemaClassTemplate.java","3","231","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","org.geotools.maven.xmlcodegen.templates","C:\User\abhi\MetricsCK\geotools\geotools\build\maven\xmlcodegen\src\main\java\org\geotools\maven\xmlcodegen\templates\SchemaClassTemplate.java","3","256","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"3","org.geotools.maven.xmlcodegen.templates","C:\User\abhi\MetricsCK\geotools\geotools\build\maven\xmlcodegen\src\main\java\org\geotools\maven\xmlcodegen\templates\SchemaClassTemplate.java","3","351","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","org.geotools.data","C:\User\abhi\MetricsCK\geotools\geotools\docs\src\main\java\org\geotools\data\DataExamples.java","3","119","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.geotools.data","C:\User\abhi\MetricsCK\geotools\geotools\docs\src\main\java\org\geotools\data\DataExamples.java","3","186","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.geotools.main","C:\User\abhi\MetricsCK\geotools\geotools\docs\src\main\java\org\geotools\main\JoinExample.java","3","106","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.geotools.render","C:\User\abhi\MetricsCK\geotools\geotools\docs\src\main\java\org\geotools\render\StyleConverter.java","4","101","Unnecessary qualifier 'JFrame': 'WindowConstants::EXIT_ON_CLOSE' is already in scope because it is inherited by an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.geotools.tutorial.crs","C:\User\abhi\MetricsCK\geotools\geotools\docs\src\main\java\org\geotools\tutorial\crs\CRSLab.java","3","359","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
