"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.github.dunwu.javaee.util","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-jstl\src\main\java\io\github\dunwu\javaee\util\Pagination.java","3","25","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","io.github.dunwu.javaee.util","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-jstl\src\main\java\io\github\dunwu\javaee\util\Pagination.java","3","32","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","io.github.dunwu.javaee.util","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-jstl\src\main\java\io\github\dunwu\javaee\util\Pagination.java","3","39","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.github.dunwu.javaee.oss.encode.digest","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-oss\src\main\java\io\github\dunwu\javaee\oss\encode\digest\HmacCoder.java","4","18","Unnecessary qualifier 'HmacCoder': 'encode' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","io.github.dunwu.javaee.oss.encode.digest","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-oss\src\main\java\io\github\dunwu\javaee\oss\encode\digest\MdCoder.java","4","16","Unnecessary qualifier 'MdCoder': 'encodeWithBase64' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","io.github.dunwu.javaee.oss.encode.digest","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-oss\src\main\java\io\github\dunwu\javaee\oss\encode\digest\ShaCoder.java","4","16","Unnecessary qualifier 'ShaCoder': 'encodeWithBase64' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","io.github.dunwu.javaee.oss.encode.sample","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-oss\src\main\java\io\github\dunwu\javaee\oss\encode\sample\UploadConstant.java","4","32","Unnecessary qualifier 'UploadConstant': 'SUPPORT_FILE_TYPE' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","io.github.dunwu.javaee.oss.jms","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-oss\src\main\java\io\github\dunwu\javaee\oss\jms\JMSReceiver.java","3","57","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.github.dunwu.javaee.oss.jms","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-oss\src\main\java\io\github\dunwu\javaee\oss\jms\JMSSender.java","3","55","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.github.dunwu.javaee.servlet","C:\User\abhi\MetricsCK\Java_tutorial\java-tutorial\codes\javaee\javaee-servlet\src\main\java\io\github\dunwu\javaee\servlet\PostServlet.java","3","39","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
