"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.mantisrx.client","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-client\src\main\java\io\mantisrx\client\StageWorkersCount.java","3","84","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.mantisrx.client.examples","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-client\src\main\java\io\mantisrx\client\examples\ConnectToNamedJob.java","3","125","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","io.mantisrx.client.examples","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-client\src\main\java\io\mantisrx\client\examples\ConnectToNamedJob.java","3","244","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.mantisrx.common.compression","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\main\java\io\mantisrx\common\compression\CompressionUtils.java","3","181","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"2","io.mantisrx.common.compression","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\main\java\io\mantisrx\common\compression\CompressionUtils.java","4","415","Unnecessary qualifier 'CompressionUtils': 'compressAndBase64Encode' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","io.mantisrx.common.compression","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\main\java\io\mantisrx\common\compression\CompressionUtils.java","4","417","Unnecessary qualifier 'CompressionUtils': 'decompressAndBase64Decode' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","io.mantisrx.runtime","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\main\java\io\mantisrx\runtime\MantisJobState.java","4","113","Unnecessary qualifier 'MantisJobState': 'Started' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","io.mantisrx.runtime","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\main\java\io\mantisrx\runtime\WorkerMigrationConfig.java","4","41","Unnecessary qualifier 'WorkerMigrationConfig': 'DEFAULT' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","io.reactivx.common.consistenthashing","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\test\java\io\reactivx\common\consistenthashing\ConsistentHashTest.java","3","70","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.reactivx.mantis.operators","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java","3","1070","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","io.reactivx.mantis.operators","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java","3","1280","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","io.reactivx.mantis.operators","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-common\src\test\java\io\reactivx\mantis\operators\OperatorGroupByTest.java","3","1327","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","io.mantisrx.connector.job.source","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\source\JobSource.java","3","111","Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings","Performance","UseStringBufferForStringAppends"
"1","io.mantisrx.connector.kafka.source.assignor","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-connectors\mantis-connector-kafka\src\test\java\io\mantisrx\connector\kafka\source\assignor\StaticPartitionAssignorTest.java","3","138","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","io.mantisrx.connector.kafka.source.assignor","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-connectors\mantis-connector-kafka\src\test\java\io\mantisrx\connector\kafka\source\assignor\StaticPartitionAssignorTest.java","3","146","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","io.mantisrx.connector.kafka.source.assignor","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-connectors\mantis-connector-kafka\src\test\java\io\mantisrx\connector\kafka\source\assignor\StaticPartitionAssignorTest.java","3","166","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","io.mantisrx.connector.kafka.source.assignor","C:\User\abhi\MetricsCK\Netflix_mantis\mantis\mantis-connectors\mantis-connector-kafka\src\test\java\io\mantisrx\connector\kafka\source\assignor\StaticPartitionAssignorTest.java","3","181","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
