"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.integration.amqp.channel","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\channel\ChannelTests.java","3","114","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration.amqp.outbound","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\outbound\RabbitStreamMessageHandlerTests.java","3","53","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","org.springframework.integration.amqp.outbound","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-amqp\src\test\java\org\springframework\integration\amqp\outbound\RabbitStreamMessageHandlerTests.java","3","91","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.springframework.integration","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\IntegrationMessageHeaderAccessor.java","4","213","Unnecessary qualifier 'IntegrationMessageHeaderAccessor': 'EXPIRATION_DATE' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"2","org.springframework.integration","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\IntegrationMessageHeaderAccessor.java","4","217","Unnecessary qualifier 'IntegrationMessageHeaderAccessor': 'SEQUENCE_NUMBER' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"3","org.springframework.integration","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\IntegrationMessageHeaderAccessor.java","4","218","Unnecessary qualifier 'IntegrationMessageHeaderAccessor': 'SEQUENCE_SIZE' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"4","org.springframework.integration","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\IntegrationMessageHeaderAccessor.java","4","219","Unnecessary qualifier 'IntegrationMessageHeaderAccessor': 'PRIORITY' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"5","org.springframework.integration","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\IntegrationMessageHeaderAccessor.java","4","223","Unnecessary qualifier 'IntegrationMessageHeaderAccessor': 'ROUTING_SLIP' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"6","org.springframework.integration","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\IntegrationMessageHeaderAccessor.java","4","227","Unnecessary qualifier 'IntegrationMessageHeaderAccessor': 'DUPLICATE_MESSAGE' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
"1","org.springframework.integration.aop","C:\User\abhi\MetricsCK\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\aop\PublisherMetadataSource.java","4","49","Unnecessary qualifier 'PublisherMetadataSource': 'RETURN_VALUE_VARIABLE_NAME' is already in scope because it is declared in an enclosing type","Code Style","UnnecessaryFullyQualifiedName"
