file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\config\EssentialsUserConfiguration.java,com.earth2me.essentials.config.EssentialsUserConfiguration,class,3,7,4,3,14,2,0,12,0,0.33333334,0.85714287,1,9,0,8,1,0,0,8,0,0,0,2,0,0,2,0,0,1,0,3,52,7,0,2,2,1,9,0,5,8,4,1,0,0,0,31,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\Mob.java,com.earth2me.essentials.Mob$MobException,innerclass,0,0,0,0,0,3,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,9,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\utils\NumberUtil.java,com.earth2me.essentials.utils.NumberUtil,class,2,9,7,2,30,1,0,30,103,0.9111111,0.00952381,0.00952381,15,14,14,1,0,0,15,0,0,0,3,3,0,3,0,0,2,0,13,112,21,1,0,3,0,13,12,16,8,9,2,0,0,0,59,17,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\textreader\BookPager.java,com.earth2me.essentials.textreader.BookPager,class,3,5,2,3,56,1,0,15,1,0.5833334,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,4,0,0,1,0,3,4,0,0,122,3,5,36,0,1,3,30,47,9,26,4,0,0,0,44,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\providers\NMSReflectionProvider\src\main\java\net\ess3\nms\refl\providers\AchievementListenerProvider.java,net.ess3.nms.refl.providers.AchievementListenerProvider,class,6,8,2,6,36,1,0,5,1,0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,149,34,0,0,0,0,35,0,0,0,0,1,0,0,0,28,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commandbreak.java,com.earth2me.essentials.commands.Commandbreak,class,7,7,0,7,6,2,0,8,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,0,3,1,2,0,2,1,0,0,0,16,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\api\II18n.java,com.earth2me.essentials.api.II18n,interface,0,1,1,0,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\Console.java,com.earth2me.essentials.Console,class,12,19,7,12,18,1,0,14,102,0.8470589,0.083333336,0.1,17,3,15,1,0,1,16,0,0,0,5,3,2,3,0,0,4,0,3,65,13,0,0,0,1,2,0,8,0,8,1,0,0,0,55,17,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\EssentialsEntityListener.java,com.earth2me.essentials.EssentialsEntityListener$1PowerToolInteractTask,innerclass,0,0,0,0,1,1,0,6,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,9,0,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\utils\VersionUtil.java,com.earth2me.essentials.utils.VersionUtil$BukkitVersion,innerclass,1,1,0,1,52,1,0,21,36,0.64705884,0.2761905,0.42857143,17,2,15,2,0,0,15,0,0,0,7,1,0,7,0,0,7,0,9,135,28,0,15,0,0,14,23,15,3,10,5,0,0,0,66,25,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commandtptoggle.java,com.earth2me.essentials.commands.Commandtptoggle,class,4,4,0,4,9,3,0,11,6,0,0,0,4,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,6,0,1,0,0,1,0,0,0,20,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\EssentialsDiscord\src\main\java\net\essentialsx\discord\util\DiscordMessageRecipient.java,net.essentialsx.discord.util.DiscordMessageRecipient,class,6,7,1,6,15,1,0,10,60,0.7307693,0.115384616,0.1923077,13,0,13,0,0,0,13,0,0,0,2,0,0,2,0,0,2,0,2,51,10,0,0,0,0,2,0,3,0,4,2,0,0,1,39,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\providers\NMSReflectionProvider\src\main\java\net\ess3\nms\refl\ReflUtil.java,net.ess3.nms.refl.ReflUtil$NMSVersion,innerclass,1,1,0,1,29,1,0,14,28,0.6346154,0.27272728,0.3181818,13,1,12,1,0,0,12,0,0,0,4,1,0,4,0,0,4,0,5,79,18,0,6,0,0,8,11,7,3,6,2,0,0,0,61,25,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\utils\VersionUtil.java,com.earth2me.essentials.utils.VersionUtil,class,8,19,11,8,27,1,0,35,19,0.9704433,0.06666667,0.06666667,7,6,5,2,0,0,6,0,0,0,29,29,24,5,0,0,26,0,34,274,13,3,4,1,0,48,89,50,1,37,7,0,2,0,80,17,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commandcondense.java,com.earth2me.essentials.commands.Commandcondense$SimpleRecipeComparator,innerclass,2,2,0,2,1,1,0,3,0,1,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,10,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commandmail.java,com.earth2me.essentials.commands.Commandmail$SendAll,innerclass,2,2,0,2,4,1,0,4,0,0,1,1,2,0,1,0,0,1,2,0,0,0,3,0,0,3,0,0,3,0,0,18,0,1,1,0,0,0,0,4,0,4,2,0,0,0,16,2,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\metrics\MetricsWrapper.java,com.earth2me.essentials.metrics.MetricsWrapper,class,14,16,2,14,13,1,0,26,0,0.53125,0.33333334,0.33333334,8,0,3,5,0,0,3,0,0,0,4,0,0,4,0,0,4,0,0,80,4,2,1,0,0,9,8,12,0,12,3,0,0,4,46,1,1
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commandbook.java,com.earth2me.essentials.commands.Commandbook,class,9,10,1,9,26,2,0,23,6,0.75,0,0,4,0,2,1,1,0,3,0,0,0,1,1,0,1,0,0,1,0,6,83,4,0,5,0,2,30,9,12,0,12,3,0,0,0,40,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\commands\Commanddeljail.java,com.earth2me.essentials.commands.Commanddeljail,class,5,5,0,5,7,2,0,6,3,0,0,0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,28,3,0,3,1,0,3,5,0,0,0,2,0,0,0,18,1,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\com\earth2me\essentials\UserData.java,com.earth2me.essentials.UserData,class,21,29,8,21,195,2,1,145,0,0.6680672,0.7102859,0.83569115,119,0,115,2,1,1,117,1,3,0,4,0,0,3,1,0,2,0,7,614,78,7,33,2,1,17,13,45,8,33,2,0,0,2,228,1025,0
C:\Users\abhi\Downloads\Files\EssentialsX\Essentials\Essentials\src\main\java\net\essentialsx\api\v2\events\TeleportRequestResponseEvent.java,net.essentialsx.api.v2.events.TeleportRequestResponseEvent,class,6,7,1,6,10,2,0,1,33,0.8,0.13333334,0.26666668,10,1,10,0,0,0,10,0,0,0,6,1,0,6,0,0,5,0,0,41,8,0,0,0,0,0,0,7,0,6,0,0,0,0,62,1,0
