file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\items\parts\ColoredPartItem.java,appeng.items.parts.ColoredPartItem,class,5,6,1,5,2,4,0,1,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,2,0,0,0,1,11,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\me\service\StatisticsService.java,appeng.me.service.StatisticsService,class,16,19,3,16,18,1,0,26,12,0.5416667,0.39285713,0.53571427,12,0,8,4,0,0,8,0,0,0,2,0,0,2,0,0,2,0,2,57,7,0,0,0,0,1,0,5,0,8,1,0,0,3,97,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\spatial\SpatialStorageSkyProperties.java,appeng.spatial.SpatialStorageSkyProperties$Anonymous1,anonymous,7,7,0,7,5,1,0,2,10,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\api\upgrades\ItemUpgradesChanged.java,appeng.api.upgrades.ItemUpgradesChanged,interface,2,4,2,2,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\api\util\IConfigManager.java,appeng.api.util.IConfigManager$Anonymous2,anonymous,6,6,0,6,2,1,0,1,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\client\gui\me\common\PinnedKeys.java,appeng.client.gui.me.common.PinnedKeys$PinInfo,innerclass,1,1,0,1,1,1,0,1,0,0.33333334,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,1,9,0,0,0,0,0,0,0,2,0,3,0,0,0,0,8,9,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\menu\implementations\MenuTypeBuilder.java,appeng.menu.implementations.MenuTypeBuilder$InitialDataDeserializer,interface,3,3,0,3,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\api\util\KeyTypeSelection.java,appeng.api.util.KeyTypeSelection$Listener,interface,1,1,0,1,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\api\implementations\menuobjects\IMenuItem.java,appeng.api.implementations.menuobjects.IMenuItem,interface,5,5,0,5,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\client\guidebook\scene\annotation\SceneAnnotation.java,appeng.client.guidebook.scene.annotation.SceneAnnotation,class,8,22,14,8,10,1,2,1,0,0.5,0.5714286,0.5714286,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,30,3,0,2,0,0,0,0,4,0,2,1,0,0,0,38,1025,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\client\gui\widgets\IScrollSource.java,appeng.client.gui.widgets.IScrollSource,interface,0,2,2,0,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\spatial\SpatialStorageSkyProperties.java,appeng.spatial.SpatialStorageSkyProperties,class,2,2,0,2,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,21,0,0,0,0,0,0,0,1,0,1,0,1,0,0,24,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\parts\reporting\ItemTerminalPart.java,appeng.parts.reporting.ItemTerminalPart,class,7,7,0,7,2,5,0,1,1,0.7,0,0,2,0,2,0,0,0,2,0,0,0,5,5,5,0,0,0,5,0,0,13,1,0,0,0,0,2,0,5,0,5,0,0,0,0,24,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\flatbuffers\generated\appeng\flatbuffers\scene\ExpMaterial.java,appeng.flatbuffers.scene.ExpMaterial$Vector,innerclass,3,3,0,3,3,2,0,5,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\src\main\java\appeng\api\parts\IFacadeContainer.java,appeng.api.parts.IFacadeContainer,interface,7,10,3,7,9,1,0,0,36,0,0,0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0
C:\Users\abhi\Downloads\Files\Applied_energetics\Applied-Energistics-2\libs\markdown\src\main\java\appeng\libs\mdx\FactoryTag.java,appeng.libs.mdx.FactoryTag$1StateMachine,innerclass,5,5,0,5,3,1,0,7,1,0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0
