file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\eclipse\declaration-test\src\MovingObject.java,MovingObject,interface,0,1,1,0,1,1,0,0,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\eclipse\testbundle\src\testbundle\Ext.java,testbundle.Ext,class,1,3,2,1,3,1,0,0,3,0,0,0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\multi-module\server\src\main\java\Server.java,Server,class,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corrections\QuickFixProcessor.java,org.eclipse.jdt.ls.core.internal.corrections.QuickFixProcessor,class,29,31,2,29,156,1,0,87,10,0,0,0,5,2,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,54,320,9,3,8,1,0,2,8,15,3,17,3,0,0,2,74,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\handlers\PostfixCompletionTest.java,org.eclipse.jdt.ls.core.internal.handlers.PostfixCompletionTest,class,17,18,1,17,37,3,0,60,595,0.9714286,0,0,35,0,30,5,0,0,30,0,0,0,2,1,0,2,0,0,0,0,3,362,3,0,1,1,0,308,141,131,29,135,1,0,0,4,136,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\handlers\RenameHandlerTest.java,org.eclipse.jdt.ls.core.internal.handlers.RenameHandlerTest,class,28,29,1,28,29,2,0,64,0,0.6266667,0.7509881,0.7509881,25,0,23,2,0,0,23,0,0,0,3,0,0,3,0,0,0,0,29,376,4,1,0,0,0,449,37,196,24,189,2,0,0,0,146,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\managers\InvisibleProjectPreferenceChangeListenerTest.java,org.eclipse.jdt.ls.core.internal.managers.InvisibleProjectPreferenceChangeListenerTest,class,26,27,1,26,27,3,0,62,51,0.8181818,0,0,11,0,8,3,0,0,8,0,0,0,2,0,0,2,0,0,0,0,8,170,1,8,7,0,0,41,12,42,0,41,2,0,0,0,105,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corrections\DiagnosticsHelper.java,org.eclipse.jdt.ls.core.internal.corrections.DiagnosticsHelper,class,4,16,12,4,5,1,0,8,3,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,23,5,0,0,2,0,0,2,2,1,2,1,0,0,0,39,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\multi-buildtools\src\main\java\com\example\Application.java,com.example.Application,class,0,0,0,0,1,1,0,0,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\abhi\Downloads\Files\eclipse_jdtls\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\handlers\JavaSettingsTest.java,org.eclipse.jdt.ls.core.internal.handlers.JavaSettingsTest,class,14,15,1,14,12,3,0,47,0,0.4090909,0.95555556,1,11,0,10,1,0,0,10,0,0,0,4,2,0,4,0,0,2,0,0,204,0,0,0,8,0,56,4,22,0,22,2,0,0,0,77,1,0
