file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javaee\javaee-oss\src\main\java\io\github\dunwu\javaee\oss\encode\sample\TokenUtil.java,io.github.dunwu.javaee.oss.encode.sample.TokenUtil,class,7,8,1,7,24,1,0,33,24,0.7916667,0.2,0.3,8,8,5,3,0,0,5,0,0,0,3,3,0,3,0,0,3,0,17,121,13,0,0,0,0,19,12,32,14,29,2,0,1,0,65,17,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javaee\javaee-oss\src\main\java\io\github\dunwu\javaee\oss\jms\JMSHelloWorld.java,io.github.dunwu.javaee.oss.jms.JMSHelloWorld$HelloWorldProducer,innerclass,6,6,0,6,2,1,0,16,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,1,0,7,0,7,3,7,1,0,0,0,23,9,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javatech\javatech-lib\src\test\java\io\github\dunwu\javatech\reflections\JdkTests.java,io.github.dunwu.javatech.reflections.JdkTests$JrtUrlType,innerclass,5,5,0,5,3,1,0,8,3,0,0,0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,39,3,0,0,0,0,3,0,1,0,1,0,1,0,0,19,9,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javatech\javatech-lib\src\main\java\io\github\dunwu\javatech\jmh\JMHSample_34_SafeLooping.java,io.github.dunwu.javatech.jmh.JMHSample_34_SafeLooping,class,16,17,1,16,13,1,0,8,0,0.625,0.35714287,0.35714287,8,3,7,0,0,1,8,0,0,0,3,1,0,0,0,3,1,0,5,44,3,5,0,0,0,4,10,9,1,7,1,0,0,0,36,1,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javatech\javatech-lib\src\test\java\io\github\dunwu\javatech\reflections\MyTestModelStore.java,io.github.dunwu.javatech.reflections.MyTestModelStore$io$github$dunwu$javatech$reflections$TestModel$I3,interface,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javatech\javatech-lib\src\test\java\io\github\dunwu\javatech\reflections\MyTestModelStore.java,io.github.dunwu.javatech.reflections.MyTestModelStore$io$github$dunwu$javatech$reflections$TestModel$I2,interface,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javatech\javatech-lib\src\test\java\io\github\dunwu\javatech\reflections\MyTestModelStore.java,io.github.dunwu.javatech.reflections.MyTestModelStore$io$github$dunwu$javatech$reflections$TestModel$I1,interface,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javatech\javatech-mq\javatech-rocketmq\src\main\java\io\github\dunwu\javatech\rocketmq\scheduled\ScheduledMessageProducer.java,io.github.dunwu.javatech.rocketmq.scheduled.ScheduledMessageProducer,class,2,2,0,2,2,1,0,6,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,1,3,3,4,1,4,1,0,0,0,19,1,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javatech\javatech-lib\src\main\java\io\github\dunwu\javatech\poi\word\WordUtil.java,io.github.dunwu.javatech.poi.word.WordUtil,class,10,11,1,10,9,1,0,40,36,0,0,0,9,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,38,10,41,3,39,0,0,0,0,102,1,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javatech\javatech-others\javatech-zookeeper\src\main\java\io\github\dunwu\javatech\zk\example\ZooKeeperGetChildren.java,io.github.dunwu.javatech.zk.example.ZooKeeperGetChildren,class,4,5,1,4,6,1,0,9,0,0.33333334,1,1,2,2,2,0,0,0,2,0,0,0,3,3,0,3,0,0,1,0,1,33,1,1,2,1,0,3,1,7,0,7,3,0,0,0,29,1,0
C:\Users\abhi\Downloads\Files\Java_tutorial\java-tutorial\codes\javaee\javaee-jsp\src\main\java\io\github\dunwu\javaee\jsp\bean\Message.java,io.github.dunwu.javaee.jsp.bean.Message,class,0,0,0,0,2,1,0,0,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0
