file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\props\HeightProp.java,com.henninghall.date_picker.props.HeightProp,class,2,3,1,2,1,2,0,1,0,1,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,8,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,class,2,4,2,2,6,1,0,3,6,0.75,0,0,4,0,2,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,17,5,0,1,0,0,2,1,1,1,1,1,0,0,0,61,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\generated\NumberPicker.java,com.henninghall.date_picker.generated.NumberPicker$SetSelectionCommand,innerclass,1,1,0,1,6,1,0,3,0,0.3125,1,1,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,1,0,0,27,0,0,0,0,0,0,0,6,0,4,1,0,0,0,25,10,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,class,8,12,4,8,8,1,0,10,15,0,0,0,6,6,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,43,2,0,0,0,0,14,0,5,0,5,1,0,0,0,22,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\MainApplicationReactNativeHost.java,com.rn069.newarchitecture.MainApplicationReactNativeHost$Anonymous1$Anonymous2,anonymous,8,8,0,8,2,1,0,4,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,0,0,3,0,3,0,0,0,0,20,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\wheelFunctions\AddOnChangeListener.java,com.henninghall.date_picker.wheelFunctions.AddOnChangeListener$Anonymous1,anonymous,1,1,0,1,2,1,0,2,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,class,5,6,1,5,5,3,0,1,6,0.75,0,0,4,0,0,0,3,1,4,0,0,1,1,1,0,1,0,0,0,0,0,19,0,0,0,0,0,1,0,1,0,1,1,0,1,0,67,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,class,8,10,2,8,26,1,0,39,91,0.8,0.060606062,0.060606062,15,15,12,3,0,0,12,0,0,0,2,2,0,2,0,0,1,0,13,112,15,0,4,0,0,5,3,17,2,16,1,1,0,0,157,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\examples\Rn069\android\app\src\debug\java\com\rn069\ReactNativeFlipper.java,com.rn069.ReactNativeFlipper,class,12,12,0,12,3,1,0,8,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,0,3,0,3,2,2,0,0,22,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\wheels\MonthWheel.java,com.henninghall.date_picker.wheels.MonthWheel,class,4,5,1,4,8,2,0,6,15,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,27,5,1,1,0,0,1,4,3,0,3,1,0,0,0,21,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\DatePickerManagerImpl.java,com.henninghall.date_picker.DatePickerManagerImpl,class,7,9,2,7,13,1,0,13,34,0.8333334,0.035714287,0.035714287,9,8,7,1,1,0,8,0,0,0,2,2,0,0,0,2,2,0,3,47,4,1,1,1,0,4,3,9,0,8,2,0,0,0,59,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\wheelFunctions\TextColor.java,com.henninghall.date_picker.wheelFunctions.TextColor,class,3,4,1,3,2,1,0,1,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\Formats.java,com.henninghall.date_picker.Formats,class,4,7,3,4,3,3,0,4,1,0.75,NaN,NaN,2,2,1,1,0,0,1,0,0,0,2,2,1,1,0,0,0,0,1,147,2,0,0,1,0,5,0,2,0,2,1,2,2,0,17,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\ui\PickerWrapper.java,com.henninghall.date_picker.ui.PickerWrapper,class,2,3,1,2,4,1,0,4,0,0,1,1,4,0,0,0,0,4,4,0,0,0,1,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,0,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\generated\NumberPicker.java,com.henninghall.date_picker.generated.NumberPicker$ChangeCurrentByOneFromLongPressCommand,innerclass,1,1,0,1,2,1,0,2,0,0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,27,0,0
