file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\config\xml\PayloadDeserializingTransformerParserTests.java,org.springframework.integration.config.xml.PayloadDeserializingTransformerParserTests,class,14,15,1,14,7,1,0,18,0,0.6571428,0.8,1,7,1,6,1,0,0,6,0,0,0,5,0,0,5,0,0,0,0,4,70,1,0,0,0,2,11,9,13,0,18,0,0,2,1,42,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-test-support\src\test\java\org\springframework\integration\test\matcher\HeaderMatcherTests.java,org.springframework.integration.test.matcher.HeaderMatcherTests,class,4,4,0,4,20,1,0,32,0,0.6666666,1,1,18,0,18,0,0,0,18,0,0,0,7,6,0,0,0,7,6,0,26,100,0,0,0,2,1,19,4,19,1,15,1,0,0,0,74,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-mail\src\main\java\org\springframework\integration\mail\config\MailOutboundChannelAdapterParser.java,org.springframework.integration.mail.config.MailOutboundChannelAdapterParser,class,7,8,1,7,7,2,0,10,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,14,0,11,1,11,2,0,0,0,52,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\aggregator\AggregatorTests.java,org.springframework.integration.aggregator.AggregatorTests$1CustomHandler,innerclass,3,3,0,3,4,2,0,13,0,0.33333334,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,3,0,0,25,0,1,1,1,0,0,2,4,0,4,3,0,0,0,18,0,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-websocket\src\test\java\org\springframework\integration\websocket\TomcatWebSocketTestServer.java,org.springframework.integration.websocket.TomcatWebSocketTestServer,class,9,18,9,9,7,1,0,22,0,0.4166667,0.8,1,6,0,5,1,0,0,5,0,0,0,2,0,0,2,0,0,2,0,2,42,3,0,0,1,0,9,2,5,1,5,1,0,0,0,44,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\graph\IntegrationGraphServerTests.java,org.springframework.integration.graph.IntegrationGraphServerTests$Config,innerclass,37,37,0,37,23,1,0,27,231,0.95454544,0,0,22,1,22,0,0,0,22,0,0,0,1,0,0,0,0,1,0,0,2,118,23,0,0,0,0,18,1,11,0,12,2,2,0,1,85,9,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\config\xml\ObjectToStringTransformerParserTests.java,org.springframework.integration.config.xml.ObjectToStringTransformerParserTests$TestBean,innerclass,0,0,0,0,2,1,0,0,1,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\config\xml\HeaderEnricherOverwriteTests.java,org.springframework.integration.config.xml.HeaderEnricherOverwriteTests$TestBean,innerclass,0,0,0,0,2,1,0,0,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,9,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-file\src\test\java\org\springframework\integration\file\locking\FileChannelCacheTests.java,org.springframework.integration.file.locking.FileChannelCacheTests,class,3,3,0,3,2,1,0,11,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,16,0,0,0,0,0,2,0,3,0,3,0,0,0,0,21,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-webflux\src\main\java\org\springframework\integration\webflux\dsl\WebFlux.java,org.springframework.integration.webflux.dsl.WebFlux,class,9,13,4,9,19,1,0,7,171,0,0,0,19,18,18,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,59,18,0,0,0,0,0,0,1,0,1,0,0,0,0,65,17,0
